Dive Site,Type,Country,Notes,,Dive Site,Type,Country,City,,,Dive Site,Type,Country,,,Dive Site,Type,Country,,,Dive Site,Type,Country,,Dive Site,Type,Country,,,Dive Site,Type,Country
Apra Harbor,Wreck,SMS Cormoran,,,Sydney - Bare,Beach,Australia,,,,Ojamo Mine,Cavern/Cave,Finland,,,Strytan HydrotherMal Chimneys,Geographic Site,Iceland,,,Lake Baikal - Listvyanka,Lake,Russia,,Maluku - Ambon - Laha Muck Dives,Other,Indonesia,,,Cedar Pride,Wreck,Jordan
Aqaba - C - 130 Hercules Wreck,Wreck,Jordan,,,Sydney - Clifton Gardens,Beach,Australia,,,,Kuredu Caves (Turtle Caves),Cavern/Cave,Maldives,,,Blue Hole,Geographic Site,Malta,,,Gilboa Quarry,Lake,USA,,Puget Sound,Other,Edmonds Underwater Park,,,C - 130 Hercules Wreck,Wreck,Jordan
Aqaba - Cedar Pride,Wreck,Jordan,,,Andrea I,Beach,Bonaire,,,,Turtle Tomb,Cavern/Cave,Malaysia,,,Secca del Papa,Geographic Site,Italy,,,White Star Quarry,Lake,USA,,Puget Sound,Other,Keystone Jetty,,,Zainab Wreck,Wreck,
Aqaba - Japanese Garden,Geographic Site,Jordan,,,Andrea II,Beach,Bonaire,,,,The Cathedral,Cavern/Cave,Indonesia,,,Riou Archipelago - Moyade,Geographic Site,France,,,Dutch Springs,Lake,USA,,Ogden Point Breakwater,Other,Canada,,,Inchcape 1 Wreck,Wreck,
Aqaba - Seven Sisters,Geographic Site,Jordan,,,Angel City,Beach,Bonaire,,,,Pantar - The Arch,Cavern/Cave,Indonesia,,,Medes Island Marine Reserve,Geographic Site,Spain,,,Lake Phoenix (Rawlings),Lake,USA,,Weeki Wachee Springs,Other,USA,,,King Cruiser Wreck,Wreck,Thailand
Aqaba - Tank Wreck,Wreck,Jordan,,,Red Slave,Beach,Bonaire,,,,Cave,Cavern/Cave,Philippines,,,Punta de Teno,Geographic Site,Spain,,,Juturna Springs,Lake,USA,,Crystal River - Three Sisters,Other,USA,,,HTMS Kled Kaew,Wreck,Thailand
Aquarium Wrecks,Wreck,French Polynesia,,,Margate,Beach,Bonaire,,,,Pescador Island - Cathedral,Cavern/Cave,Philippines,,,Blue Hole,Geographic Site,Egypt,,,Not Listed,,,,Not Listed,,,,,HTMS Chang,Wreck,Thailand
Arabia,Wreck,USA,,,Alice in Wonderland,Beach,Bonaire,,,,Minamijima Arch,Cavern/Cave,Japan,,,Bells to Blue Hole,Geographic Site,Egypt,,,,,,,,,,,,Irako Maru,Wreck,Philippines
Arashi,Geographic Site,Aruba,,,Directors,Beach,Curaçao,,,,Blue Cave,Cavern/Cave,Taiwan,,,Shark & Yolanda Reef,Geographic Site,Egypt,,,,,,,,,,,,Akitsushima,Wreck,Philippines
Aratika,Geographic Site,French Polynesia,,,Grand Anse d’Arlet,Beach,Martinique,,,,Berlengas Island - Caves,Cavern/Cave,Portugal,,,Brothers,Geographic Site,Egypt,,,,,,,,,,,,Okikawa Maru,Wreck,Philippines
Arborek Jetty,Other,Indonesia,,,Montserrat - Rendezvous,Beach,USA,,,,Cabrera National Park - La Catedral,Cavern/Cave,Spain,,,Daedalus,Geographic Site,Egypt,,,,,,,,,,,,USAT Liberty,Wreck,Indonesia
Archipelago - Egmont,Geographic Site,Chagos,,,Anse Chastanet,Beach,St. Lucia,,,,Palm - Mar Cave,Cavern/Cave,Spain,,,Elphinstone,Geographic Site,Egypt,,,,,,,,,,,,HMAS Brisbane,Wreck,Australia
Archipelago - Salomon,Geographic Site,Chagos,,,Arinaga (El Cabrón),Beach,Spain,,,,Blue Grotto (Grotta Azzurra),Cavern/Cave,Italy,,,Straits of Tiran - Jackson,Geographic Site,Egypt,,,,,,,,,,,,Tangalooma Wrecks,Wreck,Australia
Arinaga (El Cabrón),Beach,Spain,,,Izu Peninsula - Osezaki,Beach,Japan,,,,Grotta delle Sirene,Cavern/Cave,Italy,,,Straits of Tiran - Thomas,Geographic Site,Egypt,,,,,,,,,,,,SS Yongala,Wreck,Australia
Armageddon Wreck,Wreck,,,,Jemeluk,Beach,Indonesia,,,,The Cathedral,Cavern/Cave,Spain,,,Straits of Tiran - Woodhouse,Geographic Site,Egypt,,,,,,,,,,,,HMAS Hobart (scuttled),Wreck,Australia
Arraial do Cabo - Gruta Azul,Cavern/Cave,Brazil,,,Blue,Beach,Indonesia,,,,The Caves,Cavern/Cave,British Virgin Islands,,,Straits of Tiran - Gordon,Geographic Site,Egypt,,,,,,,,,,,,SS Nord,Wreck,Australia
Arraial do Cabo - Ilha dos Porcos,Geographic Site,Brazil,,,Bias Tugal (White Sand Beach),Beach,Indonesia,,,,Nabaa Al - Hamra (The Caves),Cavern/Cave,Martinique,,,Sha’ab Rumi,Geographic Site,Sudan,,,,,,,,,,,,HMCS Saskatchewan,Wreck,Canada
Arraial do Cabo - Naufragio Pinguino,Wreck,Brazil,,,Pink Beach,Beach,Indonesia,,,,Arraial do Cabo - Gruta Azul,Cavern/Cave,Brazil,,,Sanganeb,Geographic Site,Sudan,,,,,,,,,,,,HMCS Cape Breton,Wreck,Canada
Arutanga,Geographic Site,Aitutaki,,,Monterey Bay - San Carlos Beach (Breakwater),Beach,USA,,,,Raggie Cave,Cavern/Cave,South Africa,,,Daymaniyat,Geographic Site,Oman,,,,,,,,,,,,Emerald Bay - Historic Barge Wrecks,Wreck,USA
Arutanga,Geographic Site,Cook Islands,,,Monterey Bay - Lovers Point,Beach,USA,,,,Cathedral,Cavern/Cave,South Africa,,,Musandam - Lima Rock,Geographic Site,Oman,,,,,,,,,,,,Isle Royale - SS Emperor,Wreck,USA
Ashmore,Geographic Site,Australia,,,Point Lobos - Whalers Cove,Beach,USA,,,,Poor Knights - Rikoriko Cave,Cavern/Cave,New Zealand,,,Richelieu Rock,Geographic Site,Thailand,,,,,,,,,,,,Isle Royale - SS America,Wreck,USA
Atlantic Princess Wreck,Wreck,Dominican Republic,,,Bluefish Cove,Beach,USA,,,,Blue Grotto,Cavern/Cave,USA,,,Hin Daeng,Geographic Site,Thailand,,,,,,,,,,,,Isle Royale - SS Congdon,Wreck,USA
Attersee,Lake,Hinkelsteine,,,Monastery Beach,Beach,USA,,,,Double Caves,Cavern/Cave,Bahamas,,,Hin Muang,Geographic Site,Thailand,,,,,,,,,,,,Thunder Bay - SS Monohansett,Wreck,USA
Austin Smith,Wreck,Bahamas,,,Monastery North (The Finger),Beach,USA,,,,Palancar Caves,Cavern/Cave,Mexico,,,Shark Point (Hin Musang),Geographic Site,Thailand,,,,,,,,,,,,Thunder Bay - SS Isaac M. Scott,Wreck,USA
Avaavaroa Passage,Geographic Site,Cook Islands,,,Butterfly House,Beach,USA,,,,Parguera Caverns,Cavern/Cave,Puerto Rico,,,Anemone,Geographic Site,Thailand,,,,,,,,,,,,Tobermory - Sweepstakes,Wreck,USA
Avatoru,Geographic Site,Rangiroa,,,Carmel River State Beach,Beach,USA,,,,Cave of Love (Hidden Beach),Cavern/Cave,Mexico,,,Koh Bida Nok,Geographic Site,Thailand,,,,,,,,,,,,Tobermory - Arabia,Wreck,USA
Avatoru Wall,Geographic Site,Rangiroa,,,Big Sur - Jade Cove,Beach,USA,,,,Roatán - Dolphin’s Den,Cavern/Cave,Honduras,,,Sail Rock,Geographic Site,Thailand,,,,,,,,,,,,Tobermory - Forest City,Wreck,USA
B - 17 Bomber Wreck,Wreck,Croatia,,,Santa Cruz,Beach,Davenport Landing,,,,Blue Hole,Cavern/Cave,Belize,,,Chumphon Pinnacle,Geographic Site,Thailand,,,,,,,,,,,,Niagara II,Wreck,USA
Babylon,Geographic Site,Cayman Islands,,,Santa Cruz,Beach,Shark Fin Cove,,,,Grotto,Cavern/Cave,,,,Green Rock,Geographic Site,Thailand,,,,,,,,,,,,Ennerdale Wreck,Wreck,Seychelles
